citing_opinion_id,court,docket_id,cluster_id,opinion_types,opinion_sources
91306,scotus,2297559,91306,['010combined'],['html_with_citations']
92059,scotus,96842,92059,"['040dissent', '030concurrence', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']"
92291,scotus,2449371,92291,['010combined'],['html_with_citations']
93311,scotus,2397685,93311,['010combined'],['html_with_citations']
93904,scotus,229746,93904,['010combined'],['html_with_citations']
98124,scotus,428794,98124,['010combined'],['html_with_citations']
98917,scotus,2556141,98917,"['040dissent', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'html_with_citations']"
99004,scotus,1068425,99004,['010combined'],['html_with_citations']
99901,scotus,80418,99901,['010combined'],['html_with_citations']
101368,scotus,621994,101368,['010combined'],['html_with_citations']
101750,scotus,406609,101750,['010combined'],['html_with_citations']
101913,scotus,406726,101913,['010combined'],['html_with_citations']
102164,scotus,845304,102164,['010combined'],['html_with_citations']
102784,scotus,81694,102784,['010combined'],['html_with_citations']
103012,scotus,119296,103012,"['030concurrence', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'html_with_citations']"
103172,scotus,1740034,103172,"['040dissent', '030concurrence', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']"
103214,scotus,1507922,103214,"['040dissent', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'html_with_citations']"
103198,scotus,2503656,103198,['010combined'],['html_with_citations']
103292,scotus,2457842,103292,"['040dissent', '030concurrence', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']"
103290,scotus,2381796,103290,"['040dissent', '030concurrence', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']"
103351,scotus,107747,103351,['010combined'],['html_with_citations']
103557,scotus,263902,103557,"['030concurrence', '030concurrence', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']"
103505,scotus,25924,103505,"['040dissent', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'html_with_citations']"
103522,scotus,122651,103522,['010combined'],['html_with_citations']
103555,scotus,339919,103555,"['040dissent', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'html_with_citations']"
103493,scotus,275019,103493,['010combined'],['html_with_citations']
103442,scotus,2545547,103442,['010combined'],['html_with_citations']
103639,scotus,76615,103639,['010combined'],['html_with_citations']
103736,scotus,82108,103736,"['040dissent', '030concurrence', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']"
103761,scotus,1507628,103761,['010combined'],['html_with_citations']
103831,scotus,463562,103831,"['040dissent', '040dissent', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']"
103869,scotus,263995,103869,"['040dissent', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'html_with_citations']"
103870,scotus,174195,103870,"['040dissent', '030concurrence', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']"
103915,scotus,193031,103915,"['040dissent', '040dissent', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']"
103927,scotus,276514,103927,['010combined'],['html_with_citations']
103916,scotus,1209308,103916,"['040dissent', '040dissent', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']"
103962,scotus,441589,103962,['010combined'],['html_with_citations']
104285,scotus,443088,104285,"['040dissent', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'html_with_citations']"
104380,scotus,444842,104380,"['040dissent', '040dissent', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']"
2764117,scotus,2618367,2764117,"['040dissent', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'html_with_citations']"
104704,scotus,408441,104704,['010combined'],['html_with_citations']
104610,scotus,408409,104610,['010combined'],['html_with_citations']
104641,scotus,113273,104641,['010combined'],['html_with_citations']
105014,scotus,408622,105014,"['030concurrence', '030concurrence', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']"
104965,scotus,1163200,104965,"['040dissent', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'html_with_citations']"
105319,scotus,1554859,105319,"['040dissent', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'html_with_citations']"
105525,scotus,253455,105525,"['040dissent', '030concurrence', '030concurrence', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']"
105543,scotus,1507220,105543,"['040dissent', '040dissent', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']"
106235,scotus,1556001,106235,"['035concurrenceinpart', '035concurrenceinpart', '035concurrenceinpart', '035concurrenceinpart', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']"
106285,scotus,2043318,106285,"['040dissent', '030concurrence', '030concurrence', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']"
106576,scotus,1507832,106576,['010combined'],['html_with_citations']
106883,scotus,2472190,106883,"['040dissent', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'html_with_citations']"
107121,scotus,131808,107121,['010combined'],['html_with_citations']
107081,scotus,195151,107081,"['040dissent', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'html_with_citations']"
107252,scotus,1434683,107252,"['040dissent', '035concurrenceinpart', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']"
107464,scotus,1632799,107464,"['040dissent', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'html_with_citations']"
107473,scotus,1119480,107473,['010combined'],['html_with_citations']
107564,scotus,203204,107564,"['040dissent', '030concurrence', '030concurrence', '030concurrence', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']"
107343,scotus,265986,107343,"['040dissent', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'html_with_citations']"
107689,scotus,473228,107689,"['030concurrence', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'html_with_citations']"
107685,scotus,681195,107685,"['040dissent', '030concurrence', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']"
107746,scotus,1016314,107746,"['040dissent', '040dissent', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']"
