citing_opinion_id,court,docket_id,cluster_id,opinion_types,opinion_sources,word_counts,combined_word_counts
91306,scotus,2297559,91306,['010combined'],['html_with_citations'],['6412'],6412.0
92059,scotus,96842,92059,"['040dissent', '030concurrence', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']","['2554', '827', '8998', '12505']",12505.0
92291,scotus,2449371,92291,['010combined'],['html_with_citations'],['3094'],3094.0
93311,scotus,2397685,93311,['010combined'],['html_with_citations'],['9048'],9048.0
93904,scotus,229746,93904,['010combined'],['html_with_citations'],['1675'],1675.0
98124,scotus,428794,98124,['010combined'],['html_with_citations'],['1395'],1395.0
98917,scotus,2556141,98917,"['040dissent', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'html_with_citations']","['709', '4725', '5538']",5538.0
99004,scotus,1068425,99004,['010combined'],['html_with_citations'],['3460'],3460.0
99901,scotus,80418,99901,['010combined'],['html_with_citations'],['1090'],1090.0
101368,scotus,621994,101368,['010combined'],['html_with_citations'],['2220'],2220.0
101750,scotus,406609,101750,['010combined'],['html_with_citations'],['1925'],1925.0
101913,scotus,406726,101913,['010combined'],['html_with_citations'],['2036'],2036.0
102164,scotus,845304,102164,['010combined'],['html_with_citations'],['4859'],4859.0
102784,scotus,81694,102784,['010combined'],['html_with_citations'],['9283'],9283.0
103012,scotus,119296,103012,"['030concurrence', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'html_with_citations']","['604', '7737', '8424']",8424.0
103172,scotus,1740034,103172,"['040dissent', '030concurrence', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']","['348', '1604', '4158', '6304']",6304.0
103214,scotus,1507922,103214,"['040dissent', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'html_with_citations']","['5432', '1637', '7197']",7197.0
103198,scotus,2503656,103198,['010combined'],['html_with_citations'],['7951'],7951.0
103292,scotus,2457842,103292,"['040dissent', '030concurrence', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']","['3746', '29', '4753', '8853']",8853.0
103290,scotus,2381796,103290,"['040dissent', '030concurrence', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']","['83', '32', '2739', '2963']",2963.0
103351,scotus,107747,103351,['010combined'],['html_with_citations'],['2057'],2057.0
103557,scotus,263902,103557,"['030concurrence', '030concurrence', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']","['1414', '1414', '2282', '5269']",5269.0
103505,scotus,25924,103505,"['040dissent', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'html_with_citations']","['1386', '4896', '6404']",6404.0
103522,scotus,122651,103522,['010combined'],['html_with_citations'],['2441'],2441.0
103555,scotus,339919,103555,"['040dissent', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'html_with_citations']","['4631', '5414', '10249']",10249.0
103493,scotus,275019,103493,['010combined'],['html_with_citations'],['2179'],2179.0
103442,scotus,2545547,103442,['010combined'],['html_with_citations'],['5912'],5912.0
103639,scotus,76615,103639,['010combined'],['html_with_citations'],['2660'],2660.0
103736,scotus,82108,103736,"['040dissent', '030concurrence', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']","['5693', '1207', '5471', '12475']",12475.0
103761,scotus,1507628,103761,['010combined'],['html_with_citations'],['3368'],3368.0
103831,scotus,463562,103831,"['040dissent', '040dissent', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']","['5730', '5730', '3959', '12194']",12194.0
103869,scotus,263995,103869,"['040dissent', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'html_with_citations']","['4211', '4442', '9565']",9565.0
103870,scotus,174195,103870,"['040dissent', '030concurrence', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']","['8222', '1193', '6073', '15659']",15659.0
103915,scotus,193031,103915,"['040dissent', '040dissent', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']","['1451', '1451', '9151', '23187']",23187.0
103927,scotus,276514,103927,['010combined'],['html_with_citations'],['5831'],5831.0
103916,scotus,1209308,103916,"['040dissent', '040dissent', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']","['766', '766', '4732', '6183']",6183.0
103962,scotus,441589,103962,['010combined'],['html_with_citations'],['7256'],7256.0
104285,scotus,443088,104285,"['040dissent', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'html_with_citations']","['3068', '3081', '6260']",6260.0
104380,scotus,444842,104380,"['040dissent', '040dissent', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']","['2848', '2848', '2849', '9517']",9517.0
2764117,scotus,2618367,2764117,"['040dissent', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'html_with_citations']","['7314', '4205', '12130']",12130.0
104704,scotus,408441,104704,['010combined'],['html_with_citations'],['5627'],5627.0
104610,scotus,408409,104610,['010combined'],['html_with_citations'],['3594'],3594.0
104641,scotus,113273,104641,['010combined'],['html_with_citations'],['8572'],8572.0
105014,scotus,408622,105014,"['030concurrence', '030concurrence', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']","['86', '86', '3232', '13928']",13928.0
104965,scotus,1163200,104965,"['040dissent', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'html_with_citations']","['1104', '755', '1956']",1956.0
105319,scotus,1554859,105319,"['040dissent', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'html_with_citations']","['4163', '1694', '5970']",5970.0
105525,scotus,253455,105525,"['040dissent', '030concurrence', '030concurrence', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']","['3875', '7586', '7586', '13035', '29014']",29014.0
105543,scotus,1507220,105543,"['040dissent', '040dissent', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']","['3031', '3031', '1071', '6539']",6539.0
106235,scotus,1556001,106235,"['035concurrenceinpart', '035concurrenceinpart', '035concurrenceinpart', '035concurrenceinpart', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']","['6358', '6358', '6358', '6358', '3087', '15405']",15405.0
106285,scotus,2043318,106285,"['040dissent', '030concurrence', '030concurrence', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']","['4725', '1813', '1813', '5646', '14304']",14304.0
106576,scotus,1507832,106576,['010combined'],['html_with_citations'],['2364'],2364.0
106883,scotus,2472190,106883,"['040dissent', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'html_with_citations']","['2281', '4632', '7030']",7030.0
107121,scotus,131808,107121,['010combined'],['html_with_citations'],['3337'],3337.0
107081,scotus,195151,107081,"['040dissent', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'html_with_citations']","['5068', '8104', '13330']",13330.0
107252,scotus,1434683,107252,"['040dissent', '035concurrenceinpart', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']","['6387', '8978', '19641', '35839']",35839.0
107464,scotus,1632799,107464,"['040dissent', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'html_with_citations']","['7923', '4676', '12829']",12829.0
107473,scotus,1119480,107473,['010combined'],['html_with_citations'],['5218'],5218.0
107564,scotus,203204,107564,"['040dissent', '030concurrence', '030concurrence', '030concurrence', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']","['3333', '339', '339', '339', '3901', '8927']",8927.0
107343,scotus,265986,107343,"['040dissent', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'html_with_citations']","['2733', '8972', '11911']",11911.0
107689,scotus,473228,107689,"['030concurrence', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'html_with_citations']","['113', '2449', '2650']",2650.0
107685,scotus,681195,107685,"['040dissent', '030concurrence', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']","['7164', '2892', '5720', '15969']",15969.0
107746,scotus,1016314,107746,"['040dissent', '040dissent', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']","['364', '364', '2586', '3438']",3438.0
107606,scotus,68615,107606,['010combined'],['html_with_citations'],['7110'],7110.0
107679,scotus,379337,107679,['010combined'],['html_with_citations'],['4471'],4471.0
107980,scotus,18149,107980,"['040dissent', '030concurrence', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']","['3859', '686', '4184', '8902']",8902.0
107965,scotus,346464,107965,"['030concurrence', '030concurrence', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']","['84', '84', '1597', '3963']",3963.0
107979,scotus,1507658,107979,"['040dissent', '030concurrence', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']","['4604', '341', '5100', '10124']",10124.0
107748,scotus,46388,107748,"['040dissent', '030concurrence', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']","['9587', '1878', '11506', '23694']",23694.0
107973,scotus,101769,107973,"['030concurrence', '035concurrenceinpart', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']","['1816', '362', '6873', '9205']",9205.0
107919,scotus,1507608,107919,"['040dissent', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'html_with_citations']","['885', '1328', '2309']",2309.0
108114,scotus,287659,108114,"['040dissent', '030concurrence', '030concurrence', '030concurrence', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']","['2997', '245', '245', '245', '3565', '10832']",10832.0
108154,scotus,442901,108154,"['040dissent', '030concurrence', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']","['1895', '164', '5661', '7897']",7897.0
108164,scotus,392187,108164,['010combined'],['html_with_citations'],['2786'],2786.0
108186,scotus,2459177,108186,"['035concurrenceinpart', '040dissent', '035concurrenceinpart', '030concurrence', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']","['3344', '332', '3344', '256', '9287', '22528']",22528.0
108362,scotus,92633,108362,"['030concurrence', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'html_with_citations']","['47', '5656', '5824']",5824.0
108350,scotus,442430,108350,"['030concurrence', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'html_with_citations']","['4643', '6576', '11388']",11388.0
108730,scotus,414828,108730,"['040dissent', '030concurrence', '020lead', '010combined']","['xml_harvard', 'xml_harvard', 'xml_harvard', 'html_with_citations']","['2980', '293', '5173', '8526']",8526.0
108721,scotus,239783,108721,['010combined'],['html_with_citations'],['2874'],2874.0
108889,scotus,443532,108889,['010combined'],['html_with_citations'],['3424'],3424.0
