citing_index	cited_index	depth	citing_opinion_id	cited_opinion_id	citing_decision_name	court	docket_id	cluster_id	cited_decision_name	overruled	notes
0	0	3	91306	88061	Morgan v. United States,113 U.S. 476  (1885)	scotus	2297559	91306	Texas v. White (1869)	yes	
0	1	2	91306	88994	Morgan v. United States,113 U.S. 476  (1885)	scotus	2297559	91306	Vermilye & Co. v. Adams Express Co. (1875)	no	
0	2	1	91306	87633	Morgan v. United States,113 U.S. 476  (1885)	scotus	2297559	91306	Murray v. Lardner (1865)	no	
0	3	1	91306	88240	Morgan v. United States,113 U.S. 476  (1885)	scotus	2297559	91306	Texas v. Hardenberg (1869)	no	
0	4	1	91306	88693	Morgan v. United States,113 U.S. 476  (1885)	scotus	2297559	91306	Huntington v. Texas (1873)	no	
0	5	1	91306	88924	Morgan v. United States,113 U.S. 476  (1885)	scotus	2297559	91306	National Bank of Washington v. Texas (1874)	no	
0	6	1	91306	89668	Morgan v. United States,113 U.S. 476  (1885)	scotus	2297559	91306	Cromwell v. County of Sac (1878)	no	
0	7	1	91306	90400	Morgan v. United States,113 U.S. 476  (1885)	scotus	2297559	91306	Railroad Co. v. Sprague (1881)	no	
1	0	4	92059	91368	In re Ayers,123 U.S. 443  (1887)	scotus	96842	92059	Poindexter v. Greenhow (1885)	no	
1	1	3	92059	91371	In re Ayers,123 U.S. 443  (1887)	scotus	96842	92059	Allen v. Baltimore & Ohio Railroad (1885)	no	
1	2	2	92059	88673	In re Ayers,123 U.S. 443  (1887)	scotus	96842	92059	Davis v. Gray (1873)	no	
1	3	2	92059	87371	In re Ayers,123 U.S. 443  (1887)	scotus	96842	92059	Commonwealth of Ky. v. DENNISON, GOVERNOR, &C. (1861)	no	
1	4	2	92059	91583	In re Ayers,123 U.S. 443  (1887)	scotus	96842	92059	Hagood v. Southern (1886)	no	
1	5	2	92059	90667	In re Ayers,123 U.S. 443  (1887)	scotus	96842	92059	United States v. Lee (1882)	no	
1	-	0	92059	85451	In re Ayers,123 U.S. 443  (1887)	scotus	96842	92059	Osborn v. Bank of United States (1824) 	yes	* cite not in courtlistener
2	0	2	92291	88699	Leloup v. Port of Mobile,127 U.S. 640  (1888)	scotus	2449371	92291	Osborne v. Mobile (1873)	yes	
2	1	2	92291	89664	Leloup v. Port of Mobile,127 U.S. 640  (1888)	scotus	2449371	92291	Pensacola Telegraph Co. v. Western Union Telegraph Co. (1878)	no	
2	2	2	92291	90600	Leloup v. Port of Mobile,127 U.S. 640  (1888)	scotus	2449371	92291	Telegraph Co. v. Texas (1882)	no	
2	3	2	92291	91869	Leloup v. Port of Mobile,127 U.S. 640  (1888)	scotus	2449371	92291	Robbins v. Shelby County Taxing District (1887)	no	
2	4	2	92291	91985	Leloup v. Port of Mobile,127 U.S. 640  (1888)	scotus	2449371	92291	Philadelphia & Southern Steamship Co. v. Pennsylvania (1887)	no	
3	0	4	93311	92988	Brenham v. German American Bank,144 U.S. 173  (1892)	scotus	2397685	93311	Merrill v. Monticello (1891)	no	
3	1	4	93311	87743	Brenham v. German American Bank,144 U.S. 173  (1892)	scotus	2397685	93311	Rogers v. Burlington (1866)	yes	
3	2	4	93311	91125	Brenham v. German American Bank,144 U.S. 173  (1892)	scotus	2397685	93311	Claiborne County v. Brooks (1884)	no	
3	3	3	93311	87776	Brenham v. German American Bank,144 U.S. 173  (1892)	scotus	2397685	93311	Mitchell v. Burlington (1867)	yes	
