citing_opinion_id,court,docket_id,cluster_id,opinion_types,opinion_sources,word_counts,combined_word_counts
91306,scotus,2297559,91306,['010combined'],['html_with_citations'],['6371'],6371.0
92059,scotus,96842,92059,"['040dissent', '030concurrence', '020lead', '010combined']","['html_with_citations', 'html_with_citations', 'html_with_citations', 'html_with_citations']","['2570', '829', '9034', '12508']",12508.0
92291,scotus,2449371,92291,['010combined'],['html_with_citations'],['3076'],3076.0
93311,scotus,2397685,93311,['010combined'],['html_with_citations'],['9006'],9006.0
93904,scotus,229746,93904,['010combined'],['html_with_citations'],['1646'],1646.0
98124,scotus,428794,98124,['010combined'],['html_with_citations'],['1331'],1331.0
98917,scotus,2556141,98917,"['040dissent', '020lead', '010combined']","['html_with_citations', 'html_with_citations', 'html_with_citations']","['717', '4748', '5538']",5538.0
99004,scotus,1068425,99004,['010combined'],['html_with_citations'],['3405'],3405.0
99901,scotus,80418,99901,['010combined'],['html_with_citations'],['1022'],1022.0
101368,scotus,621994,101368,['010combined'],['html_with_citations'],['2178'],2178.0
101750,scotus,406609,101750,['010combined'],['html_with_citations'],['1835'],1835.0
101913,scotus,406726,101913,['010combined'],['html_with_citations'],['1989'],1989.0
102164,scotus,845304,102164,['010combined'],['html_with_citations'],['4797'],4797.0
102784,scotus,81694,102784,['010combined'],['html_with_citations'],['9294'],9294.0
103012,scotus,119296,103012,"['030concurrence', '020lead', '010combined']","['html_with_citations', 'html_with_citations', 'html_with_citations']","['610', '7829', '8429']",8429.0
103172,scotus,1740034,103172,"['040dissent', '030concurrence', '020lead', '010combined']","['html_with_citations', 'html_with_citations', 'html_with_citations', 'html_with_citations']","['356', '1627', '4214', '6300']",6300.0
103214,scotus,1507922,103214,"['040dissent', '020lead', '010combined']","['html_with_citations', 'html_with_citations', 'html_with_citations']","['5467', '1658', '7217']",7217.0
103198,scotus,2503656,103198,['010combined'],['html_with_citations'],['7988'],7988.0
103292,scotus,2457842,103292,"['040dissent', '030concurrence', '020lead', '010combined']","['html_with_citations', 'html_with_citations', 'html_with_citations', 'html_with_citations']","['3798', '30', '4789', '8870']",8870.0
103290,scotus,2381796,103290,"['040dissent', '030concurrence', '020lead', '010combined']","['html_with_citations', 'html_with_citations', 'html_with_citations', 'html_with_citations']","['84', '32', '2773', '2965']",2965.0
103351,scotus,107747,103351,['010combined'],['html_with_citations'],['2010'],2010.0
103557,scotus,263902,103557,"['030concurrence', '030concurrence', '020lead', '010combined']","['html_with_citations', 'html_with_citations', 'html_with_citations', 'html_with_citations']","['1431', '1431', '2302', '5271']",5271.0
103505,scotus,25924,103505,"['040dissent', '020lead', '010combined']","['html_with_citations', 'html_with_citations', 'html_with_citations']","['1394', '4931', '6404']",6404.0
103522,scotus,122651,103522,['010combined'],['html_with_citations'],['2392'],2392.0
103555,scotus,339919,103555,"['040dissent', '020lead', '010combined']","['html_with_citations', 'html_with_citations', 'html_with_citations']","['4691', '5511', '10248']",10248.0
103493,scotus,275019,103493,['010combined'],['html_with_citations'],['2109'],2109.0
103442,scotus,2545547,103442,['010combined'],['html_with_citations'],['5902'],5902.0
103639,scotus,76615,103639,['010combined'],['html_with_citations'],['2634'],2634.0
103736,scotus,82108,103736,"['040dissent', '030concurrence', '020lead', '010combined']","['html_with_citations', 'html_with_citations', 'html_with_citations', 'html_with_citations']","['5742', '1212', '5538', '12491']",12491.0
103761,scotus,1507628,103761,['010combined'],['html_with_citations'],['3312'],3312.0
103831,scotus,463562,103831,"['040dissent', '040dissent', '020lead', '010combined']","['html_with_citations', 'html_with_citations', 'html_with_citations', 'html_with_citations']","['5762', '5762', '3995', '12201']",12201.0
103869,scotus,263995,103869,"['040dissent', '020lead', '010combined']","['html_with_citations', 'html_with_citations', 'html_with_citations']","['4315', '4491', '9565']",9565.0
