cluster_id,split,court_group,has_positive,n_final_pairs,n_positive_pairs
420694,dev,FED,0,17,0
655291,dev,FED,0,11,0
1945050,dev,FED,0,12,0
2396683,dev,FED,0,10,0
4450553,dev,FED,0,32,0
7325818,dev,FED,0,24,0
7331908,dev,FED,0,49,0
8443637,dev,FED,0,33,0
9536169,dev,FED,0,20,0
9595984,dev,FED,1,26,1
9599044,dev,FED,0,19,0
9600200,unused,FED,0,23,0
9606306,dev,FED,0,12,0
9606916,dev,FED,0,25,0
9606979,dev,FED,0,37,0
9607110,dev,FED,1,16,1
9607311,dev,FED,1,26,1
9607433,dev,FED,0,25,0
9607926,dev,FED,0,6,0
9608807,dev,FED,0,26,0
9611591,dev,FED,0,18,0
9612163,dev,FED,0,24,0
9621004,dev,FED,0,49,0
9621752,dev,FED,0,14,0
9622223,dev,FED,1,67,1
10166886,dev,FED,0,25,0
10174002,dev,FED,0,12,0
10243431,dev,FED,1,18,1
10329792,dev,FED,0,30,0
10338795,dev,FED,0,24,0
10363311,dev,FED,0,26,0
10365867,dev,FED,0,45,0
10599655,dev,FED,0,1,0
2146,dev,SCOTUS,1,9,1
96885,dev,SCOTUS,1,65,1
97396,dev,SCOTUS,0,16,0
98518,dev,SCOTUS,0,11,0
99541,dev,SCOTUS,1,36,1
99731,dev,SCOTUS,0,8,0
101492,dev,SCOTUS,1,46,1
101642,dev,SCOTUS,0,26,0
102167,dev,SCOTUS,1,147,18
102198,dev,SCOTUS,1,8,1
102219,dev,SCOTUS,1,22,4
102233,dev,SCOTUS,1,53,1
102370,dev,SCOTUS,1,5,1
103206,dev,SCOTUS,0,5,0
103299,dev,SCOTUS,1,47,4
103307,dev,SCOTUS,1,76,14
103324,dev,SCOTUS,1,14,1
103328,dev,SCOTUS,1,13,4
103446,dev,SCOTUS,1,13,1
103476,dev,SCOTUS,1,22,3
103542,dev,SCOTUS,1,12,3
103609,dev,SCOTUS,1,89,2
103786,dev,SCOTUS,1,35,1
104171,dev,SCOTUS,1,112,8
104347,dev,SCOTUS,1,11,1
105846,dev,SCOTUS,0,1,0
106729,dev,SCOTUS,1,63,1
109323,dev,SCOTUS,1,5,1
110122,dev,SCOTUS,1,16,1
110212,dev,SCOTUS,1,19,2
110223,dev,SCOTUS,1,55,2
110274,dev,SCOTUS,1,34,3
110308,dev,SCOTUS,1,45,3
110352,dev,SCOTUS,1,18,1
110360,dev,SCOTUS,1,61,5
110440,dev,SCOTUS,1,20,1
110462,dev,SCOTUS,1,28,1
110484,dev,SCOTUS,0,2,0
111256,dev,SCOTUS,0,71,0
111375,dev,SCOTUS,1,43,3
111442,dev,SCOTUS,1,33,2
111597,dev,SCOTUS,1,31,2
111672,dev,SCOTUS,1,16,1
111819,dev,SCOTUS,1,13,1
112115,dev,SCOTUS,1,23,1
112144,dev,SCOTUS,1,38,2
112227,dev,SCOTUS,1,28,1
112271,dev,SCOTUS,1,33,1
112890,dev,SCOTUS,1,76,1
117849,dev,SCOTUS,1,23,7
117892,dev,SCOTUS,1,52,5
117921,dev,SCOTUS,1,51,6
117966,dev,SCOTUS,1,50,2
117989,dev,SCOTUS,1,38,1
118042,dev,SCOTUS,1,20,1
118228,dev,SCOTUS,1,18,2
118267,dev,SCOTUS,1,19,6
118310,dev,SCOTUS,1,33,1
118395,dev,SCOTUS,1,61,3
145643,dev,SCOTUS,1,32,7
145739,dev,SCOTUS,1,51,12
809122,dev,SCOTUS,1,128,8
1087812,dev,SCOTUS,1,39,4
1116658,dev,SCOTUS,1,64,1
1447641,dev,SCOTUS,1,17,1
2620698,dev,SCOTUS,1,19,1
2621076,dev,SCOTUS,1,25,2
2771249,dev,SCOTUS,1,20,4
2803251,dev,SCOTUS,1,17,1
4630088,dev,SCOTUS,1,91,5
4729774,dev,SCOTUS,0,13,0
1198927,dev,STATE,0,0,0
1265071,dev,STATE,0,15,0
1438803,dev,STATE,1,6,1
1540576,dev,STATE,1,2,2
1689507,dev,STATE,0,0,0
1749602,dev,STATE,0,20,0
1801425,dev,STATE,1,15,1
1852273,dev,STATE,0,0,0
1873909,dev,STATE,0,7,0
1881512,dev,STATE,1,15,1
1941010,dev,STATE,0,8,0
2233552,dev,STATE,0,9,0
2369968,dev,STATE,0,73,0
2679945,dev,STATE,0,0,0
4922504,dev,STATE,1,10,1
4994041,dev,STATE,0,0,0
4998825,dev,STATE,0,9,0
5008972,dev,STATE,0,5,0
5012574,dev,STATE,0,0,0
5015317,dev,STATE,0,4,0
5022574,dev,STATE,1,14,1
5024324,dev,STATE,0,10,0
5046951,dev,STATE,0,19,0
5051615,dev,STATE,0,11,0
5141813,dev,STATE,0,10,0
5338560,dev,STATE,0,10,0
5802655,dev,STATE,0,54,0
6289956,dev,STATE,0,15,0
6290331,dev,STATE,0,10,0
6290349,dev,STATE,0,11,0
6297560,dev,STATE,0,0,0
6311463,dev,STATE,0,0,0
6313911,dev,STATE,0,14,0
6315597,dev,STATE,0,7,0
7641669,dev,STATE,0,14,0
7650495,dev,STATE,0,0,0
7774813,dev,STATE,0,11,0
7803869,dev,STATE,0,7,0
8228895,dev,STATE,0,14,0
8245424,dev,STATE,0,0,0
10342696,dev,STATE,0,7,0
10345366,dev,STATE,1,20,3
10611237,dev,STATE,0,7,0
10611581,dev,STATE,0,9,0
10612381,dev,STATE,0,13,0
10612441,dev,STATE,0,62,0
429180,test,FED,0,50,0
430620,test,FED,0,9,0
436234,test,FED,0,19,0
513272,test,FED,1,12,1
529973,test,FED,0,6,0
538389,test,FED,0,13,0
563802,test,FED,1,9,1
725046,test,FED,0,32,0
1477013,test,FED,0,46,0
2650623,test,FED,1,23,1
7329667,test,FED,1,48,2
7332819,test,FED,0,18,0
7334436,test,FED,0,44,0
9553822,test,FED,0,32,0
9557725,test,FED,0,42,0
9576414,test,FED,0,29,0
9592813,test,FED,0,7,0
9594606,test,FED,0,11,0
9597498,test,FED,0,17,0
9599479,test,FED,0,25,0
9599778,test,FED,0,23,0
9600255,test,FED,1,22,1
9600728,test,FED,0,23,0
9601047,test,FED,0,42,0
9603483,test,FED,0,26,0
9603504,test,FED,1,18,1
9603750,test,FED,0,19,0
9608784,test,FED,1,11,1
9610025,test,FED,0,30,0
9611507,test,FED,0,22,0
9611941,test,FED,0,15,0
9612104,test,FED,0,27,0
9618893,test,FED,0,21,0
9620463,test,FED,0,22,0
9621532,test,FED,0,31,0
9622395,test,FED,0,51,0
9660089,test,FED,0,29,0
9674372,test,FED,1,55,1
9676686,test,FED,0,43,0
9717017,test,FED,0,33,0
9732791,test,FED,0,12,0
9734213,test,FED,0,21,0
9925195,test,FED,1,120,3
9928332,test,FED,0,8,0
10185155,test,FED,0,50,0
10192803,test,FED,0,52,0
10245452,test,FED,0,44,0
10333342,test,FED,0,16,0
10368854,test,FED,0,14,0
10368856,test,FED,0,32,0
10415317,test,FED,0,11,0
10599667,test,FED,0,14,0
1722,test,SCOTUS,1,49,2
93904,test,SCOTUS,1,8,3
94610,test,SCOTUS,1,16,2
96357,test,SCOTUS,1,40,1
97004,test,SCOTUS,1,11,1
97378,test,SCOTUS,1,50,11
97975,test,SCOTUS,0,23,0
99467,test,SCOTUS,1,7,1
99807,test,SCOTUS,1,13,1
100397,test,SCOTUS,0,25,0
100409,test,SCOTUS,1,22,1
100771,test,SCOTUS,1,36,2
100887,test,SCOTUS,1,14,1
100915,test,SCOTUS,1,2,1
101559,test,SCOTUS,1,25,1
101625,test,SCOTUS,1,17,4
101648,test,SCOTUS,1,50,2
101684,test,SCOTUS,0,12,0
101762,test,SCOTUS,1,40,5
101894,test,SCOTUS,1,148,4
102002,test,SCOTUS,1,13,2
102091,test,SCOTUS,1,59,1
102174,test,SCOTUS,0,13,0
102259,test,SCOTUS,1,13,1
103172,test,SCOTUS,1,45,4
103197,test,SCOTUS,1,38,1
103247,test,SCOTUS,1,11,1
103260,test,SCOTUS,1,37,1
103286,test,SCOTUS,1,9,1
103325,test,SCOTUS,1,17,1
103346,test,SCOTUS,1,17,1
103364,test,SCOTUS,1,13,1
103395,test,SCOTUS,1,17,1
103402,test,SCOTUS,1,11,1
103426,test,SCOTUS,1,26,1
103438,test,SCOTUS,1,45,7
103447,test,SCOTUS,1,32,4
103496,test,SCOTUS,1,12,2
103543,test,SCOTUS,1,22,5
103545,test,SCOTUS,1,14,1
103548,test,SCOTUS,1,13,1
103549,test,SCOTUS,1,62,6
103553,test,SCOTUS,1,14,1
103615,test,SCOTUS,1,50,1
103624,test,SCOTUS,1,62,2
103633,test,SCOTUS,1,47,1
103658,test,SCOTUS,1,29,3
103720,test,SCOTUS,1,43,3
103721,test,SCOTUS,1,23,3
103732,test,SCOTUS,1,56,1
103772,test,SCOTUS,1,28,1
103794,test,SCOTUS,1,26,3
105845,test,SCOTUS,0,2,0
106447,test,SCOTUS,1,159,1
106548,test,SCOTUS,1,189,2
106628,test,SCOTUS,1,83,9
106658,test,SCOTUS,1,110,3
106721,test,SCOTUS,1,45,7
106761,test,SCOTUS,1,68,2
106995,test,SCOTUS,1,17,3
109505,test,SCOTUS,1,87,4
110075,test,SCOTUS,1,127,15
110077,test,SCOTUS,1,156,31
110144,test,SCOTUS,1,13,3
110168,test,SCOTUS,1,26,3
110226,test,SCOTUS,1,29,3
110245,test,SCOTUS,1,56,2
110260,test,SCOTUS,1,48,3
110380,test,SCOTUS,1,80,1
110410,test,SCOTUS,1,11,1
110420,test,SCOTUS,0,22,0
